name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h,date
Figure Heloc,figr_heloc,1.003,15889689398,330310642.0,0.12024,2026-03-21
Dogecoin,doge,0.093933,14424413212,566903002.0,-0.51111,2026-03-21
WhiteBIT Coin,wbt,55.25,11792156640,54380529.0,-0.1191,2026-03-21
USDS,usds,1.0,11761645362,11480022.0,-0.00058,2026-03-21
Cardano,ada,0.264185,9734310410,304549524.0,-1.86544,2026-03-21
Hyperliquid,hype,39.59,9444136767,244870035.0,-0.20009,2026-03-21
Bitcoin Cash,bch,468.42,9373626133,180345747.0,1.02157,2026-03-21
LEO Token,leo,9.22,8490783266,426029.0,0.23993,2026-03-21
Chainlink,link,9.1,6442131486,288527828.0,-0.1495,2026-03-21
Monero,xmr,348.54,6427732822,75685656.0,0.81378,2026-03-21
Ethena USDe,usde,0.99996,5923244222,102608451.0,0.01509,2026-03-21
Canton,cc,0.147343,5611041179,6459683.0,2.83295,2026-03-21
Stellar,xlm,0.165102,5449671431,69219291.0,-1.32798,2026-03-21
USD1,usd1,0.999786,4424669221,1060837824.0,0.03741,2026-03-21
Litecoin,ltc,56.11,4320454324,287238214.0,0.76721,2026-03-21
Dai,dai,1.0,4315811582,155058687.0,0.00533,2026-03-21
Rain,rain,0.0086903,4156091010,12848339.0,-0.73486,2026-03-21
Avalanche,avax,9.5,4102582301,225513607.0,-0.45729,2026-03-21
PayPal USD,pyusd,1.0,4072194941,80508846.0,0.00946,2026-03-21
Hedera,hbar,0.092587,4009331238,46608035.0,-1.26916,2026-03-21
Zcash,zec,233.83,3884379549,235800267.0,-0.58781,2026-03-21
Sui,sui,0.961866,3751212859,238477645.0,-1.1396,2026-03-21
Shiba Inu,shib,5.99e-06,3531641429,156541410.0,-0.66198,2026-03-21
Cronos,cro,0.074854,3165543375,8204324.0,-0.99456,2026-03-21
Toncoin,ton,1.26,3108120605,103633825.0,1.88794,2026-03-21
MemeCore,m,1.62,2840455356,8045668.0,-0.66403,2026-03-21
World Liberty Financial,wlfi,0.093974,2598694563,79509503.0,4.13767,2026-03-21
Bittensor,tao,269.68,2588437219,364851909.0,-5.26778,2026-03-21
Tether Gold,xaut,4493.36,2536946532,668090735.0,-3.47899,2026-03-21
Polkadot,dot,1.49,2500772043,136239321.0,-2.53269,2026-03-21
Mantle,mnt,0.751151,2467917357,27946044.0,-1.12148,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.00922,2026-03-21
Uniswap,uni,3.59,2272919934,151896350.0,-0.79059,2026-03-21
PAX Gold,paxg,4507.63,2266450150,415901883.0,-3.2021,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.19904,1952149482,41095977.0,5.60401,2026-03-21
OKB,okb,88.42,1856511544,12829297.0,-0.44435,2026-03-21
Global Dollar,usdg,0.999835,1775558373,20229569.0,-0.00841,2026-03-21
Falcon USD,usdf,0.997762,1748293838,1139849.0,-0.02413,2026-03-21
Sky,sky,0.073604,1697763366,10882099.0,1.99104,2026-03-21
Aster,aster,0.691246,1697406193,132154490.0,0.69584,2026-03-21
NEAR Protocol,near,1.31,1693875987,120583407.0,-2.30012,2026-03-21
Bitcoin,btc,70568.0,1412061929737,31927187901.0,-0.23116,2026-03-21
Ethereum,eth,2152.99,259939631774,12790535942.0,0.00159,2026-03-21
Tether,usdt,0.999812,184149035879,50179465238.0,-0.01183,2026-03-21
XRP,xrp,1.44,88322670558,1465033784.0,-0.88215,2026-03-21
BNB,bnb,642.94,87658136481,785408341.0,-0.13045,2026-03-21
USDC,usdc,0.999805,79037438134,2688376161.0,-0.00991,2026-03-21
Solana,sol,89.91,51422905229,2412237951.0,0.47686,2026-03-21
TRON,trx,0.309937,29387345124,527732326.0,0.87098,2026-03-21
Figure Heloc,figr_heloc,1.003,15889689398,330310642.0,0.12024,2026-03-21
Dogecoin,doge,0.093953,14422991902,565051250.0,-0.60403,2026-03-21
WhiteBIT Coin,wbt,55.26,11795780184,54094193.0,-0.27702,2026-03-21
USDS,usds,0.999829,11763136463,11731751.0,-0.01953,2026-03-21
Cardano,ada,0.26435,9741859265,308452050.0,-1.87978,2026-03-21
Hyperliquid,hype,39.82,9490252400,243488987.0,0.35287,2026-03-21
Bitcoin Cash,bch,468.16,9368026917,176776141.0,0.73746,2026-03-21
LEO Token,leo,9.22,8493123717,425076.0,0.16119,2026-03-21
Chainlink,link,9.09,6442523259,285360146.0,-0.41544,2026-03-21
Monero,xmr,349.12,6434515158,74488100.0,0.72341,2026-03-21
Ethena USDe,usde,0.999839,5922929776,95847346.0,0.00152,2026-03-21
Canton,cc,0.147156,5614712167,6454840.0,2.75049,2026-03-21
Stellar,xlm,0.165101,5449824057,70724989.0,-1.39709,2026-03-21
USD1,usd1,0.999733,4424368463,1039389696.0,0.02144,2026-03-21
Dai,dai,1.0,4316668410,160103852.0,0.0025,2026-03-21
Litecoin,ltc,56.04,4316254396,284017265.0,0.61062,2026-03-21
Rain,rain,0.00869613,4156553091,19239763.0,-0.8542,2026-03-21
Avalanche,avax,9.5,4103465343,232621690.0,-0.80008,2026-03-21
PayPal USD,pyusd,1.0,4072712029,79994488.0,0.03373,2026-03-21
Hedera,hbar,0.092585,4009490667,44505788.0,-1.30767,2026-03-21
Zcash,zec,233.29,3879641765,289111397.0,-1.3219,2026-03-21
Sui,sui,0.961446,3751191383,235321246.0,-1.55684,2026-03-21
Shiba Inu,shib,5.99e-06,3531805079,154211311.0,-0.61207,2026-03-21
Cronos,cro,0.07489,3166362729,8307605.0,-1.12618,2026-03-21
Toncoin,ton,1.26,3107715874,103731308.0,1.59973,2026-03-21
MemeCore,m,1.62,2843032441,7973166.0,-1.97826,2026-03-21
World Liberty Financial,wlfi,0.09428,2605801148,81574371.0,4.17815,2026-03-21
Bittensor,tao,269.21,2582494996,353351064.0,-4.60827,2026-03-21
Tether Gold,xaut,4494.58,2537289272,628640289.0,-3.39007,2026-03-21
Polkadot,dot,1.49,2503809393,135717928.0,-2.71163,2026-03-21
Mantle,mnt,0.748151,2453931468,23872602.0,-1.47411,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.00913,2026-03-21
Uniswap,uni,3.59,2274718498,149798319.0,-0.63532,2026-03-21
PAX Gold,paxg,4507.88,2266359557,411559851.0,-3.26302,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.201405,1968789791,42010441.0,6.84329,2026-03-21
OKB,okb,88.42,1856504055,12801874.0,-0.49736,2026-03-21
Global Dollar,usdg,0.999897,1775637386,22637711.0,-0.00012,2026-03-21
Falcon USD,usdf,0.997771,1748109366,1139420.0,-0.05655,2026-03-21
Sky,sky,0.073709,1699434913,10890504.0,2.10725,2026-03-21
Aster,aster,0.691409,1698286602,130770451.0,0.84118,2026-03-21
NEAR Protocol,near,1.31,1695533579,118183240.0,-2.35218,2026-03-21
Bitcoin,btc,70595.0,1411805451363,31180632289.0,-0.13915,2026-03-21
Ethereum,eth,2155.29,260075224747,12390430788.0,0.23559,2026-03-21
Tether,usdt,0.999853,184152919048,49842498075.0,-0.00739,2026-03-21
XRP,xrp,1.44,88330679662,1380637689.0,-0.6605,2026-03-21
BNB,bnb,643.21,87694706741,775824380.0,0.04118,2026-03-21
USDC,usdc,0.99995,79038555675,6745361587.0,0.00472,2026-03-21
Solana,sol,89.94,51414486375,2393524744.0,0.58333,2026-03-21
TRON,trx,0.310124,29385124396,523922601.0,1.25535,2026-03-21
Figure Heloc,figr_heloc,1.003,15889689398,330310642.0,0.12024,2026-03-21
Dogecoin,doge,0.09398,14423988594,562808479.0,-0.38656,2026-03-21
WhiteBIT Coin,wbt,55.26,11793712388,53710305.0,-0.19594,2026-03-21
USDS,usds,0.999888,11760632746,11510509.0,-0.00786,2026-03-21
Cardano,ada,0.264349,9738905313,302592929.0,-1.69947,2026-03-21
Hyperliquid,hype,39.89,9506365084,243848990.0,0.92807,2026-03-21
Bitcoin Cash,bch,467.48,9353101695,175600984.0,-0.06978,2026-03-21
LEO Token,leo,9.22,8488294395,425869.0,0.12941,2026-03-21
Chainlink,link,9.1,6442640771,284154811.0,-0.14034,2026-03-21
Monero,xmr,349.38,6440921198,74746419.0,0.87512,2026-03-21
Ethena USDe,usde,0.999898,5923263786,101668127.0,0.01419,2026-03-21
Canton,cc,0.147299,5609011512,6469351.0,2.84712,2026-03-21
Stellar,xlm,0.16536,5457854510,69946646.0,-1.19221,2026-03-21
USD1,usd1,0.999605,4423856961,1030428410.0,0.01176,2026-03-21
Dai,dai,1.0,4316075657,161382459.0,0.00672,2026-03-21
Litecoin,ltc,56.05,4314380259,282225640.0,0.8394,2026-03-21
Rain,rain,0.0086929,4156641537,19255691.0,-0.92552,2026-03-21
Avalanche,avax,9.51,4104275866,230865618.0,-0.51981,2026-03-21
PayPal USD,pyusd,0.999957,4072217138,79842623.0,-0.01936,2026-03-21
Hedera,hbar,0.09262,4010105617,45766348.0,-1.06516,2026-03-21
Zcash,zec,233.63,3879074699,288019767.0,-1.18471,2026-03-21
Sui,sui,0.96183,3751112082,238895433.0,-1.33262,2026-03-21
Shiba Inu,shib,5.99e-06,3529952446,149399253.0,-0.42121,2026-03-21
Cronos,cro,0.074903,3166948051,8084787.0,-1.05723,2026-03-21
Toncoin,ton,1.26,3105697823,103910517.0,1.68959,2026-03-21
MemeCore,m,1.62,2824760505,7969831.0,-2.29801,2026-03-21
World Liberty Financial,wlfi,0.094427,2612043373,81296035.0,4.50459,2026-03-21
Bittensor,tao,269.85,2589837931,350872838.0,-3.64251,2026-03-21
Tether Gold,xaut,4494.31,2537526342,620404244.0,-3.50388,2026-03-21
Polkadot,dot,1.49,2502868854,135062067.0,-2.72049,2026-03-21
Mantle,mnt,0.748603,2452899988,27598208.0,-1.35813,2026-03-21
Circle USYC,usyc,1.12,2450906535,111880.0,0.00928,2026-03-21
Uniswap,uni,3.59,2277593537,149369782.0,-0.51952,2026-03-21
PAX Gold,paxg,4509.64,2267248916,412420829.0,-3.35163,2026-03-21
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2012853986,0.0,0.0,2026-03-21
Pi Network,pi,0.200269,1965447294,41981371.0,6.6742,2026-03-21
OKB,okb,88.41,1856537546,12747318.0,-0.5489,2026-03-21
Global Dollar,usdg,0.999838,1775556859,20579485.0,-0.00584,2026-03-21
Falcon USD,usdf,0.997968,1748293075,1134201.0,-0.03658,2026-03-21
Sky,sky,0.073731,1701253883,10493192.0,2.24932,2026-03-21
Aster,aster,0.690666,1696212288,131258983.0,1.09182,2026-03-21
NEAR Protocol,near,1.31,1694430482,122277511.0,-2.35825,2026-03-21
